日期,,,付款方式,付款名稱,金額
4/1/15,,,現金,現金,"15,900"
,,,,小計,"15,900"
4/2/15,,,現金,現金,"6,460"
,,,信用卡,信用卡,"14,100"
,,,,小計,"20,560"
4/3/15,,,現金,現金,"32,070"
,,,信用卡,信用卡,"3,100"
,,,,小計,"35,170"
4/4/15,,,現金,現金,"44,150"
,,,信用卡,信用卡,"1,260"
,,,,小計,"45,410"
4/5/15,,,現金,現金,"47,990"
,,,信用卡,信用卡,"4,300"
,,,,小計,"52,290"
4/6/15,,,信用卡,信用卡,700
,,,現金,現金,"63,900"
,,,,小計,"64,600"
4/7/15,,,現金,現金,"9,530"
,,,信用卡,信用卡,"1,250"
,,,,小計,"10,780"
4/8/15,,,現金,現金,"13,210"
,,,信用卡,信用卡,250
,,,,小計,"13,460"
4/9/15,,,現金,現金,"8,230"
,,,,小計,"8,230"
4/10/15,,,現金,現金,"25,840"
,,,信用卡,信用卡,"-10,100"
,,,,小計,"15,740"
4/11/15,,,現金,現金,"25,220"
,,,,小計,"25,220"
4/12/15,,,現金,現金,"17,720"
,,,,小計,"17,720"
4/13/15,,,現金,現金,"6,150"
,,,,小計,"6,150"
4/14/15,,,現金,現金,"-3,110"
,,,信用卡,信用卡,"10,500"
,,,,小計,"7,390"
4/15/15,,,現金,現金,"8,880"
,,,信用卡,信用卡,"-3,400"
,,,,小計,"5,480"
4/16/15,,,現金,現金,"8,600"
,,,,小計,"8,600"
4/17/15,,,現金,現金,"33,720"
,,,信用卡,信用卡,"3,200"
,,,,小計,"36,920"
4/18/15,,,現金,現金,"18,020"
,,,,小計,"18,020"
4/19/15,,,現金,現金,"15,950"
,,,,小計,"15,950"
4/20/15,,,現金,現金,"16,450"
,,,,小計,"16,450"
4/21/15,,,現金,現金,"5,900"
,,,,小計,"5,900"
4/22/15,,,現金,現金,"12,380"
,,,,小計,"12,380"
4/23/15,,,現金,現金,"8,040"
,,,,小計,"8,040"
4/24/15,,,現金,現金,"33,800"
,,,信用卡,信用卡,"7,590"
,,,,小計,"41,390"
4/25/15,,,現金,現金,"18,220"
,,,,小計,"18,220"
4/26/15,,,信用卡,信用卡,500
,,,現金,現金,"21,520"
,,,,小計,"22,020"
4/27/15,,,現金,現金,"49,240"
,,,信用卡,信用卡,"57,100"
,,,,小計,"106,340"
4/28/15,,,現金,現金,"5,080"
,,,信用卡,信用卡,"1,800"
,,,,小計,"6,880"
4/29/15,,,現金,現金,"5,050"
,,,,小計,"5,050"
4/30/15,,,現金,現金,"26,590"
,,,信用卡,信用卡,"5,200"
,,,,小計,"31,790"
5/1/15,,,現金,現金,"14,930"
,,,信用卡,信用卡,200
,,,,小計,"15,130"
5/2/15,,,現金,現金,"48,490"
,,,信用卡,信用卡,"2,980"
,,,,小計,"51,470"
5/3/15,,,現金,現金,"13,330"
,,,信用卡,信用卡,"1,700"
,,,,小計,"15,030"
5/4/15,,,現金,現金,"39,200"
,,,,小計,"39,200"
5/5/15,,,現金,現金,"12,250"
,,,,小計,"12,250"
5/6/15,,,現金,現金,"18,150"
,,,,小計,"18,150"
5/7/15,,,現金,現金,"20,440"
,,,,小計,"20,440"
5/8/15,,,現金,現金,"35,310"
,,,信用卡,信用卡,"2,550"
,,,,小計,"37,860"
5/9/15,,,現金,現金,"37,300"
,,,信用卡,信用卡,"3,000"
,,,,小計,"40,300"
5/10/15,,,現金,現金,"17,150"
,,,信用卡,信用卡,"1,240"
,,,,小計,"18,390"
5/11/15,,,現金,現金,"10,450"
,,,信用卡,信用卡,"1,800"
,,,,小計,"12,250"
5/12/15,,,現金,現金,"13,780"
,,,信用卡,信用卡,"2,700"
,,,,小計,"16,480"
5/13/15,,,現金,現金,"8,200"
,,,信用卡,信用卡,"6,600"
,,,,小計,"14,800"
5/14/15,,,現金,現金,"6,800"
,,,,小計,"6,800"
5/15/15,,,現金,現金,"35,650"
,,,信用卡,信用卡,"13,450"
,,,,小計,"49,100"
5/16/15,,,現金,現金,"27,090"
,,,,小計,"27,090"
5/17/15,,,現金,現金,"30,210"
,,,,小計,"30,210"
5/18/15,,,信用卡,信用卡,550
,,,現金,現金,"11,810"
,,,,小計,"12,360"
5/19/15,,,現金,現金,"16,380"
,,,信用卡,信用卡,"1,250"
,,,,小計,"17,630"
5/20/15,,,現金,現金,"8,825"
,,,信用卡,信用卡,"5,900"
,,,,小計,"14,725"
5/21/15,,,現金,現金,"25,590"
,,,信用卡,信用卡,"1,600"
,,,,小計,"27,190"
5/22/15,,,現金,現金,"9,890"
,,,信用卡,信用卡,"2,250"
,,,,小計,"12,140"
5/23/15,,,現金,現金,"41,785"
,,,信用卡,信用卡,550
,,,,小計,"42,335"
5/24/15,,,現金,現金,"12,320"
,,,信用卡,信用卡,"2,500"
,,,,小計,"14,820"
5/25/15,,,現金,現金,"7,910"
,,,信用卡,信用卡,"2,100"
,,,,小計,"10,010"
5/26/15,,,現金,現金,"3,510"
,,,,小計,"3,510"
5/27/15,,,現金,現金,"6,640"
,,,,小計,"6,640"
5/28/15,,,現金,現金,"4,880"
,,,信用卡,信用卡,"10,600"
,,,,小計,"15,480"
5/29/15,,,現金,現金,"12,460"
,,,信用卡,信用卡,"1,200"
,,,,小計,"13,660"
5/30/15,,,現金,現金,"32,860"
,,,,小計,"32,860"
5/31/15,,,現金,現金,"6,320"
,,,信用卡,信用卡,"2,250"
,,,,小計,"8,570"
6/1/15,,,現金,現金,"7,960"
,,,,小計,"7,960"
6/2/15,,,現金,現金,"7,650"
,,,,小計,"7,650"
6/3/15,,,現金,現金,"3,080"
,,,,小計,"3,080"
6/4/15,,,現金,現金,"12,889"
,,,信用卡,信用卡,"4,200"
,,,,小計,"17,089"
6/5/15,,,現金,現金,"21,760"
,,,,小計,"21,760"
6/6/15,,,現金,現金,"14,150"
,,,,小計,"14,150"
6/7/15,,,現金,現金,"16,610"
,,,信用卡,信用卡,"2,380"
,,,,小計,"18,990"
6/8/15,,,現金,現金,"17,610"
,,,信用卡,信用卡,"1,350"
,,,,小計,"18,960"
6/9/15,,,現金,現金,"9,438"
,,,信用卡,信用卡,580
,,,,小計,"10,018"
6/10/15,,,現金,現金,"9,598"
,,,,小計,"9,598"
6/11/15,,,現金,現金,"15,007"
,,,,小計,"15,007"
6/12/15,,,信用卡,信用卡,990
,,,現金,現金,"10,710"
,,,,小計,"11,700"
6/13/15,,,現金,現金,"6,830"
,,,信用卡,信用卡,630
,,,,小計,"7,460"
6/14/15,,,現金,現金,"8,190"
,,,,小計,"8,190"
6/15/15,,,現金,現金,"14,120"
,,,,小計,"14,120"
6/16/15,,,現金,現金,"7,630"
,,,,小計,"7,630"
6/17/15,,,現金,現金,"13,180"
,,,,小計,"13,180"
6/18/15,,,現金,現金,"10,228"
,,,信用卡,信用卡,"1,600"
,,,,小計,"11,828"
6/19/15,,,現金,現金,"39,240"
,,,信用卡,信用卡,"7,440"
,,,,小計,"46,680"
6/20/15,,,現金,現金,"20,140"
,,,信用卡,信用卡,"1,500"
,,,,小計,"21,640"
6/21/15,,,現金,現金,"9,358"
,,,,小計,"9,358"
6/22/15,,,現金,現金,"7,159"
,,,,小計,"7,159"
6/23/15,,,現金,現金,"13,609"
,,,信用卡,信用卡,850
,,,,小計,"14,459"
6/24/15,,,現金,現金,"7,168"
,,,信用卡,信用卡,"2,000"
,,,,小計,"9,168"
6/25/15,,,現金,現金,"9,220"
,,,,小計,"9,220"
6/26/15,,,現金,現金,"13,938"
,,,信用卡,信用卡,"1,350"
,,,,小計,"15,288"
6/27/15,,,現金,現金,"14,048"
,,,信用卡,信用卡,540
,,,,小計,"14,588"
6/28/15,,,現金,現金,"7,800"
,,,,小計,"7,800"
6/29/15,,,現金,現金,"5,580"
,,,,小計,"5,580"
6/30/15,,,現金,現金,"10,660"
,,,信用卡,信用卡,"4,100"
,,,,小計,"14,760"
7/1/15,,,現金,現金,"9,100"
,,,,小計,"9,100"
7/2/15,,,現金,現金,"4,730"
,,,,小計,"4,730"
7/3/15,,,現金,現金,"20,760"
,,,,小計,"20,760"
7/4/15,,,現金,現金,"32,568"
,,,信用卡,信用卡,"2,740"
,,,,小計,"35,308"
7/5/15,,,現金,現金,"13,860"
,,,信用卡,信用卡,"1,300"
,,,,小計,"15,160"
7/6/15,,,現金,現金,"24,289"
,,,,小計,"24,289"
7/7/15,,,現金,現金,"14,980"
,,,信用卡,信用卡,"4,500"
,,,,小計,"19,480"
7/8/15,,,現金,現金,"28,800"
,,,信用卡,信用卡,"11,450"
,,,,小計,"40,250"
7/9/15,,,現金,現金,"18,490"
,,,,小計,"18,490"
7/10/15,,,現金,現金,"16,009"
,,,信用卡,信用卡,"2,800"
,,,,小計,"18,809"
7/11/15,,,現金,現金,"21,420"
,,,信用卡,信用卡,720
,,,,小計,"22,140"
7/12/15,,,現金,現金,"20,120"
,,,,小計,"20,120"
7/13/15,,,現金,現金,"12,290"
,,,,小計,"12,290"
7/14/15,,,現金,現金,"39,790"
,,,,小計,"39,790"
7/15/15,,,現金,現金,"19,330"
,,,,小計,"19,330"
7/16/15,,,現金,現金,"24,280"
,,,信用卡,信用卡,"3,500"
,,,,小計,"27,780"
7/17/15,,,現金,現金,"10,420"
,,,信用卡,信用卡,"3,100"
,,,,小計,"13,520"
7/18/15,,,現金,現金,"28,080"
,,,信用卡,信用卡,"6,550"
,,,,小計,"34,630"
7/19/15,,,信用卡,信用卡,"2,900"
,,,現金,現金,"10,140"
,,,,小計,"13,040"
7/20/15,,,信用卡,信用卡,"3,150"
,,,現金,現金,"7,860"
,,,,小計,"11,010"
7/21/15,,,現金,現金,"20,140"
,,,,小計,"20,140"
7/22/15,,,現金,現金,"6,510"
,,,,小計,"6,510"
7/23/15,,,現金,現金,"31,128"
,,,信用卡,信用卡,"1,699"
,,,,小計,"32,827"
7/24/15,,,現金,現金,"20,095"
,,,信用卡,信用卡,"1,500"
,,,,小計,"21,595"
7/25/15,,,現金,現金,"32,830"
,,,信用卡,信用卡,"3,250"
,,,,小計,"36,080"
7/26/15,,,現金,現金,"10,980"
,,,信用卡,信用卡,"4,540"
,,,,小計,"15,520"
7/27/15,,,現金,現金,"14,380"
,,,信用卡,信用卡,"3,150"
,,,,小計,"17,530"
7/28/15,,,信用卡,信用卡,"3,400"
,,,現金,現金,"22,090"
,,,,小計,"25,490"
7/29/15,,,現金,現金,"26,520"
,,,信用卡,信用卡,"3,700"
,,,,小計,"30,220"
7/30/15,,,現金,現金,"8,545"
,,,信用卡,信用卡,680
,,,,小計,"9,225"
7/31/15,,,信用卡,信用卡,"3,000"
,,,現金,現金,"30,819"
,,,,小計,"33,819"
8/1/15,,,信用卡,信用卡,"19,520"
,,,現金,現金,"23,250"
,,,,小計,"42,770"
8/2/15,,,現金,現金,"47,529"
,,,信用卡,信用卡,"33,020"
,,,,小計,"80,549"
8/3/15,,,現金,現金,"11,410"
,,,信用卡,信用卡,"3,600"
,,,,小計,"15,010"
8/4/15,,,現金,現金,"42,480"
,,,,小計,"42,480"
8/5/15,,,現金,現金,"22,200"
,,,信用卡,信用卡,"2,034"
,,,,小計,"24,234"
8/6/15,,,現金,現金,"136,599"
,,,,小計,"136,599"
8/7/15,,,現金,現金,"18,770"
,,,信用卡,信用卡,"1,490"
,,,,小計,"20,260"
8/8/15,,,現金,現金,"18,195"
,,,信用卡,信用卡,"33,959"
,,,,小計,"52,154"
8/9/15,,,現金,現金,"16,301"
,,,,小計,"16,301"
8/10/15,,,信用卡,信用卡,"4,810"
,,,現金,現金,"22,619"
,,,,小計,"27,429"
8/11/15,,,現金,現金,"19,130"
,,,,小計,"19,130"
8/12/15,,,現金,現金,"26,230"
,,,信用卡,信用卡,"9,240"
,,,,小計,"35,470"
8/13/15,,,現金,現金,"19,301"
,,,信用卡,信用卡,"3,590"
,,,,小計,"22,891"
8/14/15,,,現金,現金,"22,765"
,,,信用卡,信用卡,"2,700"
,,,,小計,"25,465"
8/15/15,,,現金,現金,"28,172"
,,,信用卡,信用卡,"3,000"
,,,,小計,"31,172"
8/16/15,,,現金,現金,"11,169"
,,,信用卡,信用卡,"2,500"
,,,,小計,"13,669"
8/17/15,,,現金,現金,"24,254"
,,,信用卡,信用卡,"6,298"
,,,,小計,"30,552"
8/18/15,,,信用卡,信用卡,"6,990"
,,,現金,現金,"12,319"
,,,,小計,"19,309"
8/19/15,,,現金,現金,"22,046"
,,,信用卡,信用卡,"2,390"
,,,,小計,"24,436"
8/20/15,,,現金,現金,"16,008"
,,,,小計,"16,008"
8/21/15,,,現金,現金,"13,516"
,,,信用卡,信用卡,"12,548"
,,,,小計,"26,064"
8/22/15,,,現金,現金,"10,439"
,,,信用卡,信用卡,"10,870"
,,,,小計,"21,309"
8/23/15,,,信用卡,信用卡,"5,730"
,,,現金,現金,"20,778"
,,,,小計,"26,508"
8/24/15,,,現金,現金,"16,890"
,,,信用卡,信用卡,600
,,,,小計,"17,490"
8/25/15,,,現金,現金,"18,730"
,,,信用卡,信用卡,"19,320"
,,,,小計,"38,050"
8/26/15,,,現金,現金,"19,660"
,,,信用卡,信用卡,"2,590"
,,,,小計,"22,250"
8/27/15,,,現金,現金,"7,840"
,,,信用卡,信用卡,"4,140"
,,,,小計,"11,980"
8/28/15,,,現金,現金,"13,920"
,,,信用卡,信用卡,"15,199"
,,,,小計,"29,119"
8/29/15,,,現金,現金,"50,090"
,,,信用卡,信用卡,"14,800"
,,,,小計,"64,890"
8/30/15,,,信用卡,信用卡,"138,197"
,,,現金,現金,"83,688"
,,,,小計,"221,885"
8/31/15,,,現金,現金,"310,060"
,,,信用卡,信用卡,"3,950"
,,,,小計,"314,010"
9/1/15,,,現金,現金,"-7,915"
,,,,小計,"-7,915"
9/2/15,,,現金,現金,"13,180"
,,,信用卡,信用卡,"6,890"
,,,,小計,"20,070"
9/3/15,,,現金,現金,"15,449"
,,,信用卡,信用卡,400
,,,,小計,"15,849"
9/4/15,,,現金,現金,"17,269"
,,,,小計,"17,269"
9/5/15,,,現金,現金,"44,885"
,,,信用卡,信用卡,"2,700"
,,,,小計,"47,585"
9/6/15,,,現金,現金,"25,049"
,,,信用卡,信用卡,"4,500"
,,,,小計,"29,549"
9/7/15,,,現金,現金,"20,335"
,,,信用卡,信用卡,"1,680"
,,,,小計,"22,015"
9/8/15,,,現金,現金,"6,950"
,,,信用卡,信用卡,"1,399"
,,,,小計,"8,349"
9/9/15,,,現金,現金,"20,387"
,,,,小計,"20,387"
9/10/15,,,現金,現金,"23,245"
,,,,小計,"23,245"
9/11/15,,,現金,現金,"27,327"
,,,信用卡,信用卡,325
,,,,小計,"27,652"
9/12/15,,,現金,現金,"38,639"
,,,信用卡,信用卡,"6,240"
,,,,小計,"44,879"
9/13/15,,,現金,現金,"24,997"
,,,信用卡,信用卡,990
,,,,小計,"25,987"
9/14/15,,,現金,現金,"19,948"
,,,信用卡,信用卡,"1,600"
,,,,小計,"21,548"
9/15/15,,,現金,現金,"12,298"
,,,,小計,"12,298"
9/16/15,,,現金,現金,"10,298"
,,,,小計,"10,298"
9/17/15,,,現金,現金,"14,190"
,,,,小計,"14,190"
9/18/15,,,現金,現金,"20,868"
,,,信用卡,信用卡,"1,000"
,,,,小計,"21,868"
9/19/15,,,現金,現金,"19,949"
,,,,小計,"19,949"
9/20/15,,,現金,現金,"15,529"
,,,,小計,"15,529"
9/21/15,,,現金,現金,"20,548"
,,,信用卡,信用卡,"1,350"
,,,,小計,"21,898"
9/22/15,,,現金,現金,"13,908"
,,,,小計,"13,908"
9/23/15,,,現金,現金,"31,248"
,,,信用卡,信用卡,450
,,,,小計,"31,698"
9/24/15,,,現金,現金,"4,270"
,,,信用卡,信用卡,"3,360"
,,,,小計,"7,630"
9/25/15,,,現金,現金,"9,648"
,,,信用卡,信用卡,"6,020"
,,,,小計,"15,668"
9/26/15,,,現金,現金,"17,208"
,,,信用卡,信用卡,"2,800"
,,,,小計,"20,008"
9/27/15,,,信用卡,信用卡,"9,700"
,,,現金,現金,"12,569"
,,,,小計,"22,269"
9/28/15,,,現金,現金,"19,909"
,,,信用卡,信用卡,"3,250"
,,,,小計,"23,159"
9/29/15,,,現金,現金,"17,000"
,,,信用卡,信用卡,950
,,,,小計,"17,950"
9/30/15,,,現金,現金,"41,942"
,,,,小計,"41,942"
10/1/15,,,現金,現金,"66,839"
,,,信用卡,信用卡,600
,,,,小計,"67,439"
10/2/15,,,信用卡,信用卡,"2,980"
,,,現金,現金,"11,309"
,,,,小計,"14,289"
10/3/15,,,現金,現金,"32,355"
,,,信用卡,信用卡,"4,230"
,,,,小計,"36,585"
10/4/15,,,現金,現金,"15,598"
,,,信用卡,信用卡,"5,020"
,,,,小計,"20,618"
10/5/15,,,現金,現金,"16,400"
,,,信用卡,信用卡,"1,700"
,,,,小計,"18,100"
10/6/15,,,現金,現金,"35,207"
,,,信用卡,信用卡,"8,400"
,,,,小計,"43,607"
10/7/15,,,現金,現金,"14,049"
,,,信用卡,信用卡,"1,689"
,,,,小計,"15,738"
10/8/15,,,現金,現金,"13,550"
,,,信用卡,信用卡,"31,400"
,,,,小計,"44,950"
10/9/15,,,現金,現金,"33,039"
,,,信用卡,信用卡,"4,600"
,,,,小計,"37,639"
10/10/15,,,現金,現金,"39,986"
,,,信用卡,信用卡,"23,279"
,,,,小計,"63,265"
10/11/15,,,現金,現金,"13,578"
,,,信用卡,信用卡,"2,539"
,,,,小計,"16,117"
10/12/15,,,現金,現金,"23,310"
,,,信用卡,信用卡,"3,810"
,,,,小計,"27,120"
10/13/15,,,現金,現金,"11,810"
,,,信用卡,信用卡,"14,250"
,,,,小計,"26,060"
10/14/15,,,現金,現金,"19,930"
,,,,小計,"19,930"
10/15/15,,,現金,現金,"8,019"
,,,,小計,"8,019"
10/16/15,,,信用卡,信用卡,750
,,,現金,現金,"6,929"
,,,,小計,"7,679"
10/17/15,,,信用卡,信用卡,"14,129"
,,,現金,現金,"25,808"
,,,,小計,"39,937"
10/18/15,,,現金,現金,"23,217"
,,,信用卡,信用卡,"2,800"
,,,,小計,"26,017"
10/19/15,,,現金,現金,"7,730"
,,,,小計,"7,730"
10/20/15,,,現金,現金,"13,220"
,,,信用卡,信用卡,"34,480"
,,,,小計,"47,700"
10/21/15,,,現金,現金,"23,760"
,,,信用卡,信用卡,"8,900"
,,,,小計,"32,660"
10/22/15,,,現金,現金,"3,020"
,,,信用卡,信用卡,"4,000"
,,,,小計,"7,020"
10/23/15,,,現金,現金,"73,990"
,,,信用卡,信用卡,"6,700"
,,,,小計,"80,690"
10/24/15,,,現金,現金,"28,500"
,,,信用卡,信用卡,"3,950"
,,,,小計,"32,450"
10/25/15,,,現金,現金,"20,930"
,,,信用卡,信用卡,"1,650"
,,,,小計,"22,580"
10/26/15,,,現金,現金,"49,790"
,,,,小計,"49,790"
10/27/15,,,現金,現金,"27,729"
,,,,小計,"27,729"
10/28/15,,,現金,現金,"9,689"
,,,,小計,"9,689"
10/29/15,,,現金,現金,"8,630"
,,,,小計,"8,630"
10/30/15,,,現金,現金,"45,174"
,,,信用卡,信用卡,950
,,,,小計,"46,124"
10/31/15,,,現金,現金,"34,020"
,,,信用卡,信用卡,"9,970"
,,,,小計,"43,990"
11/1/15,,,現金,現金,"62,260"
,,,,小計,"62,260"
11/2/15,,,信用卡,信用卡,"2,150"
,,,現金,現金,"6,600"
,,,,小計,"8,750"
11/3/15,,,現金,現金,"18,789"
,,,,小計,"18,789"
11/4/15,,,現金,現金,"30,260"
,,,,小計,"30,260"
11/5/15,,,現金,現金,"31,030"
,,,信用卡,信用卡,"3,750"
,,,,小計,"34,780"
11/6/15,,,現金,現金,"65,690"
,,,信用卡,信用卡,"1,800"
,,,,小計,"67,490"
11/7/15,,,現金,現金,"13,780"
,,,,小計,"13,780"
11/8/15,,,現金,現金,"66,849"
,,,信用卡,信用卡,"3,750"
,,,,小計,"70,599"
11/9/15,,,現金,現金,"17,820"
,,,,小計,"17,820"
11/10/15,,,現金,現金,"3,200"
,,,,小計,"3,200"
11/11/15,,,現金,現金,"50,800"
,,,信用卡,信用卡,"3,700"
,,,,小計,"54,500"
11/12/15,,,現金,現金,"23,800"
,,,,小計,"23,800"
11/13/15,,,現金,現金,"56,250"
,,,,小計,"56,250"
11/14/15,,,現金,現金,"51,090"
,,,,小計,"51,090"
11/15/15,,,現金,現金,"56,840"
,,,信用卡,信用卡,"9,500"
,,,,小計,"66,340"
11/16/15,,,現金,現金,"6,150"
,,,,小計,"6,150"
11/17/15,,,現金,現金,"2,250"
,,,,小計,"2,250"
11/18/15,,,現金,現金,"26,950"
,,,信用卡,信用卡,"9,500"
,,,,小計,"36,450"
11/19/15,,,現金,現金,"16,950"
,,,,小計,"16,950"
11/20/15,,,現金,現金,"29,540"
,,,,小計,"29,540"
11/21/15,,,現金,現金,"92,000"
,,,,小計,"92,000"
11/22/15,,,現金,現金,"38,924"
,,,,小計,"38,924"
11/23/15,,,現金,現金,"17,560"
,,,,小計,"17,560"
11/24/15,,,現金,現金,"79,078"
,,,,小計,"79,078"
11/25/15,,,現金,現金,"16,300"
,,,信用卡,信用卡,"4,750"
,,,,小計,"21,050"
11/26/15,,,現金,現金,"35,100"
,,,,小計,"35,100"
11/27/15,,,現金,現金,"68,855"
,,,,小計,"68,855"
11/28/15,,,現金,現金,"42,679"
,,,信用卡,信用卡,"3,150"
,,,,小計,"45,829"
11/29/15,,,現金,現金,"34,470"
,,,,小計,"34,470"
11/30/15,,,現金,現金,"59,866"
,,,信用卡,信用卡,"1,500"
,,,,小計,"61,366"
12/1/15,,,現金,現金,"47,295"
,,,信用卡,信用卡,"18,330"
,,,,小計,"65,625"
12/2/15,,,現金,現金,"74,920"
